EMOTION,TEXT,cleaned_text
anger,"My superior blamed me for some neglects at work in front of  
others.  In fact, the task in question was not supposed to be  
done by me.","superior blame neglect work front others. fact, task question suppos done me."
sadness,My father suddenly fell ill and died.,father suddenli fell ill died.
disgust,"When a friend of mine got drunk and started to blame and scorn my  
other friends and me.",friend mine got drunk start blame scorn friend me.
shame,When I forgot a promise made to a friend of mine.,forgot promis made friend mine.
guilt,"It was my turn to cook dinner.  I forgot a dish (the favourite of  
the family) in the oven and it got burnt and was uneatable.",turn cook dinner. forgot dish (the favourit family) oven got burnt uneatable.
joy,"My joy was the joy of meeting again.  My husband came home after  
having been away for weeks (for work).  I was on the railway  
station to meet him.",joy joy meet again. husband came home away week (for work). railway station meet him.
fear,"I was alone at home and I could hear odd noises coming from above  
our bedroom.  I knew that nobody lived there since it was an  
office.  I got frightened (later I was given a ""natural""  
explanation).","alon home could hear odd nois come bedroom. knew nobodi live sinc office. got frighten (later given ""natural"" explanation)."
anger,"A relative of mine had come to see my husband to talk to him  
about a problem concerning his sister and me.  I was angry  
because this relative of mine did not dare to speak to me and  
instead spoke to my husband.  I got to know about it later the  
same day.",rel mine come see husband talk problem concern sister me. angri rel mine dare speak instead spoke husband. got know later day.
sadness,"The death of my father, even though we had not been very close to  
each other.","death father, even though close other."
disgust,"The male friend of my mother (a widow) moved in to live with us.   
I did not like the man.",male friend mother (a widow) move live us. like man.
shame,"At school I was talking to a classmate about mathematics.  I had  
grown weary of it and said : ""I would like to throw the book on  
the arse of Kuikka"".  My classmate said : ""Now, he is sitting  
there and waiting for the book"" (Kuikka was one of the most quiet  
boys of the class).  I was ashamed of myself.","school talk classmat mathematics. grown weari said : ""i would like throw book ars kuikka"". classmat said : ""now, sit wait book"" (kuikka one quiet boy class). asham myself."
guilt,"The death of my father made me feel quite guilty, because my  
attitude towards him had been cold and indifferent.","death father made feel quit guilty, attitud toward cold indifferent."
joy,"My mother, sister and I were thinking about old times, our  
childhood, and we had a very happy time.","mother, sister think old times, childhood, happi time."
fear,"My husband had gone to drive a strange, broken car.  At the  
agreed time, he had not returned, and I feared that he had had an  
accident.","husband gone drive strange, broken car. agre time, returned, fear accident."
anger,"I am a school teacher.  One of the classes does not obey me at all,  
keeps on talking, does no work.  One afternoon, everything went  
wrong, and I got exceedingly angry.","school teacher. one class obey all, keep talking, work. one afternoon, everyth went wrong, got exceedingli angry."
sadness,"A young, close relative of mine died, leaving behind a baby a few  
months old.","young, close rel mine died, leav behind babi month old."
disgust,"A series about Freud was shown on TV.  In it, a tampon had been  
set in the nose of a woman, and forgotten there.  After great  
pain it was taken off (close-up picture), the woman was bleeding  
from the nose and the mouth.","seri freud shown tv. it, tampon set nose woman, forgotten there. great pain taken (close-up picture), woman bleed nose mouth."
shame,"I had promised to lend something to my mother-in-law and I forgot  
it a couple of times.  When she asked me about it the third time,  
I was ashamed at my absent-mindedness.","promis lend someth mother-in-law forgot coupl times. ask third time, asham absent-mindedness."
guilt,"A borrowed car broke down while I was using it.  It was not my  
fault, nevertheless I felt guilty.","borrow car broke use it. fault, nevertheless felt guilty."
joy,"I started a new branch of studies after having failed a former  
one.  When I got back my exam papers I was very happy to know  
that I almost had full marks.",start new branch studi fail former one. got back exam paper happi know almost full marks.
fear,"I was diving below the ice, in a cave, at a depth of 26 metres.   
Visibility was almost zero and the oxygen level decreased  
threateningly.  There were three of us divers on one safety rope.","dive ice, cave, depth 26 metres. visibl almost zero oxygen level decreas threateningly. three us diver one safeti rope."
anger,"My mother carried on using mental pressure concerning something  
which was serious and a real burden to me.",mother carri use mental pressur concern someth seriou real burden me.
sadness,"My grandfather died, I went to the mortuary and saw the corpse.","grandfath died, went mortuari saw corpse."
disgust,[ The same as in anger.],[ anger.]
shame,As a child when I was blamed for peeing in the swimming-pool.,child blame pee swimming-pool.
guilt,"A friend of mine was drunk and having an argument on the street  
with a woman, appparently his girlfriend.  I was walking on the  
other side of the street and thought that I was not supposed to  
interfere.  Later I heard that he had shot himself that evening.","friend mine drunk argument street woman, apppar girlfriend. walk side street thought suppos interfere. later heard shot evening."
joy,My girlfriend sent me a letter with a shiny picture in it.,girlfriend sent letter shini pictur it.
fear,"I was about to begin a journey in a car with an acquaintance of  
mine.",begin journey car acquaint mine.
anger,"On the TV news I heard that Nicaragua had complained about the  
increasing threat of war with the USA.",tv news heard nicaragua complain increas threat war usa.
sadness,My girlfriend gave me the mitten (left me).,girlfriend gave mitten (left me).
disgust,Watching a violent movie.,watch violent movie.
shame,The morning after a wild party.,morn wild party.
guilt,"I ""picked up"" a girl and I thought that I had misused my  
position and authority over her as there did not seem to be any  
realistic possibility of continuing the relationship.","""pick up"" girl thought misus posit author seem realist possibl continu relationship."
joy,"When, to my surprise, I got to know about having got ""very good""  
high school graduation marks.","when, surprise, got know got ""veri good"" high school graduat marks."
fear,"My grandmother was about to die, and it had the effect that at  
night, after having read a book, and once in bed, in perfect  
darkness, the fear arose that I too may suddenly die.","grandmoth die, effect night, read book, bed, perfect darkness, fear aros may suddenli die."
anger,"When I checked my examination paper and realized that I had been  
careless, thoughtless, lazy and hasty so as to make unnecessary  
mistakes concerning things I know and understand.","check examin paper realiz careless, thoughtless, lazi hasti make unnecessari mistak concern thing know understand."
sadness,"When we decided, my boyfriend and I, that we would separate, I  
realized that he would have wanted to continue our relationship  
and the coming separation hurt him.","decided, boyfriend i, would separate, realiz would want continu relationship come separ hurt him."
disgust,"When an acquaintance of mine told me about the way his parents  
treated their sons in an unequal manner.  The most successful of  
them got continuous encouragement, and the youngest was not  
encouraged and was rejected.","acquaint mine told way parent treat son unequ manner. success got continu encouragement, youngest encourag rejected."
shame,"I was talking to a friend of mine about our parents and  
education.  I said something and then realized that I did not  
know my friend's parents, their motives and education.  I felt  
ashamed at having talked about something I did not know anything  
about.","talk friend mine parent education. said someth realiz know friend' parents, motiv education. felt asham talk someth know anyth about."
guilt,"My mother told me that the enveloppes that I had been tearing (I  
had torn the stamps away) in good faith had been the first-day  
enveloppes which my father had collected as a young man.",mother told envelopp tear (i torn stamp away) good faith first-day envelopp father collect young man.
joy,"I am not especially good at English, and after the high school  
graduation exam in English I tensely waited for the result the  
whole day.  In the evening, when I heard that I had done  
excellently, I became very happy and the anxiety vanished.  My  
family was at home.","especi good english, high school graduat exam english tens wait result whole day. evening, heard done excellently, becam happi anxieti vanished. famili home."
fear,"I feared that I was pregnant.  It was not planned and I would  
have been compelled to have an abortion, which I would not have  
liked at all.  Fortunately, after a week's anxiety, I got to know  
that I was not pregnant.","fear pregnant. plan would compel abortion, would like all. fortunately, week' anxiety, got know pregnant."
anger,"A member of a religious sect tried to convert me, using really  
evil tricks to persuade me.  After he had left, I was anxious and  
angry for a long time. After the event, I was alone.","member religi sect tri convert me, use realli evil trick persuad me. left, anxiou angri long time. event, alone."
sadness,"When my boyfriend wanted to leave me, I felt sad and melancholic.","boyfriend want leav me, felt sad melancholic."
disgust,"In a film, there was an episode where they used a chain saw to  
cut a man.  I could not look at it, but I could not avoid  
listening either.  I sought shelter in my boyfriend's arms.","film, episod use chain saw cut man. could look it, could avoid listen either. sought shelter boyfriend' arms."
shame,"I thought I would be able to use the mangle of the house, and so  
I did not want any help.  However, I blocked it and I had to get  
the janitor to help me out.  He reproached me for not having  
followed the instructions","thought would abl use mangl house, want help. however, block get janitor help out. reproach follow instruct"
guilt,"I promised my friends that I would take care of something, but I  
kept forgetting about it.  When they asked me about it, I  
promised to do it immediately.  However, I got started only after  
a couple of months.  I felt that I had betrayed my friends.","promis friend would take care something, kept forget it. ask it, promis immediately. however, got start coupl months. felt betray friends."
joy,"When I got an unexpected letter from  a guy, who had been my school  
mate.","got unexpect letter guy, school mate."
fear,"When my brother went to shoot wild ducks, I feared that the  
boat would overturn and he would drown or that the gun would  
accidentally go off.","brother went shoot wild ducks, fear boat would overturn would drown gun would accident go off."
anger,"My father had once again told me that I should be careful and try to  
seek admission to other places also apart from the faculty of  
Social Sciences at the university of Helsinki.  I was not at all  
interested in any other place and had no time to study for other  
entrance exams.",father told care tri seek admiss place also apart faculti social scienc univers helsinki. interest place time studi entranc exams.
sadness,"I would have liked to go out to chat with some acquaintances, but  
I realized that I was not wanted.  I felt hurt, disappointed,  
lonely and deserted.","would like go chat acquaintances, realiz wanted. felt hurt, disappointed, lone deserted."
disgust,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen  
carpet.  It was past mid-night and my room-mate had just moved in,  
this acquaintance had helped her move in. 
","acquaint (he drunk) room-mat vomit kitchen carpet. past mid-night room-mat move in, acquaint help move in."
shame,"I was carried away while talking about my visits abroad and I  
tended to boast a little, till I realized that the listener was  
amused.","carri away talk visit abroad tend boast little, till realiz listen amused."
guilt,"When I was baby-sitting at my cousin's place, I tried to have a  
pleasant time and did not really take care of the child.  I do  
not care very much about children.","baby-sit cousin' place, tri pleasant time realli take care child. care much children."
joy,"When I got 21/30 points in an exam of statistics. The result was  
unexpected and it made me realize that statistics do not  
surpass my abilities, as I have sometimes thought.","got 21/30 point exam statistics. result unexpect made realiz statist surpass abilities, sometim thought."
fear,"When a big angry dog put its snout on my arm and had I made one  
movement it would have bitten me.",big angri dog put snout arm made one movement would bitten me.
anger,"When my room-mates were watching video-tapes and prevented me  
from watching the news.  The first feeling I had was that I was  
being treated unfairly and then came the feeling of anger.",room-mat watch video-tap prevent watch news. first feel treat unfairli came feel anger.
sadness,"[ When after a night of sleeping in another's arms, one wakes  
alone and knows that the lonely arms of the night are not the  
same that one meets in the morning.]","[ night sleep another' arms, one wake alon know lone arm night one meet morning.]"
disgust,"When an unpleasant person tried to make friends with me.  A  
subtle, small, insignificant, grey being whose helplessness and  
neutrality evoked the feeling of disgust in me.","unpleas person tri make friend me. subtle, small, insignificant, grey whose helpless neutral evok feel disgust me."
shame,"Badly chosen words to a vague acquaintance of mine made me feel  
ashamed at having given the wrong impression about what I wanted  
to say.  Thoughtlessness.",badli chosen word vagu acquaint mine made feel asham given wrong impress want say. thoughtlessness.
guilt,"When I behaved improperly - fought in a public place.   
Afterwards, I felt guilty about my conduct.","behav improperli - fought public place. afterwards, felt guilti conduct."
joy,"When my friend told me that he would come and meet me in a  
moment.",friend told would come meet moment.
fear,"My father had been drinking and I feared him when we went to bed  
at night.",father drink fear went bed night.
anger,"My friends promised me that they would definitely call me to tell  
me if they were visiting me or not.",friend promis would definit call tell visit not.
sadness,A close friend of mine had not contacted me for a long time.,close friend mine contact long time.
disgust,A friend of mine came to see me when he was quite drunk.,friend mine came see quit drunk.
shame,I said something especially stupid which I did not mean at all.,said someth especi stupid mean all.
guilt,"I did not go to help a friend of mine, though she probably needed  
me.","go help friend mine, though probabl need me."
joy,"When I felt that an exam, which I had feared, was an easy one and  
went well.","felt exam, feared, easi one went well."
fear,"I was afraid when my dog ran out through a crack in the fence  
when  a train was coming.",afraid dog ran crack fenc train coming.
anger,"When a friend of mine was drawn into a fight because of the  
stupid gang he belonged to. I felt angry with him and his  
friends. They could not think about anything sensible, but would  
fool around without taking into consideration the feelings of  
other persons. 
","friend mine drawn fight stupid gang belong to. felt angri friends. could think anyth sensible, would fool around without take consider feel persons."
sadness,"I felt sad after having had an argument with my boyfriend.  I felt  
that he did not understand me and that there was no point in  
carrying on with the relationship.",felt sad argument boyfriend. felt understand point carri relationship.
disgust,"I detested my father who was a drunkard.  He would rave,  
threaten and blame my mother and me.  He finally drove us away  
from home.","detest father drunkard. would rave, threaten blame mother me. final drove us away home."
shame,"When I was on holiday with my former boyfriend, he hit me and  
behaved in a very evil and ugly manner in front of the hotel  
personnel.","holiday former boyfriend, hit behav evil ugli manner front hotel personnel."
guilt,"When as a child I stole, from a friend of mine, the ring she had  
got in an easter egg.","child stole, friend mine, ring got easter egg."
joy,"When I got home from a pleasant trip abroad, I got to know that I  
had been accepted at university.","got home pleasant trip abroad, got know accept university."
fear,"At school, I had acted against the will of the group, and the  
next day they promised to take revenge on me.","school, act group, next day promis take reveng me."
anger,"My mother had for some time been trying to separate me from a  
good friend who, she thought, was not good company for me.   
Finally, at breakfast one day, we had an argument and I tried to  
defend my friend.","mother time tri separ good friend who, thought, good compani me. finally, breakfast one day, argument tri defend friend."
sadness,I got to know about the death of a close friend.,got know death close friend.
disgust,"When I was watching a movie with many violent episodes.  They  
accurately showed the cutting of corpses, etc...","watch movi mani violent episodes. accur show cut corpses, etc..."
shame,"When I was caught telling a white lie.  At that time, I was not  
allowed to stay outdoors after 8 p.m.  One day when I was late, I  
made up a story that our neighbour had invited me to his place,  
though I had actually forgotten about the time while playing with  
my pals.","caught tell white lie. time, allow stay outdoor 8 p.m. one day late, made stori neighbour invit place, though actual forgotten time play pals."
guilt,"When before the last exam I have taken, I went out instead of  
studying.","last exam taken, went instead studying."
joy,"When I was pressing figures on the curtain cloth. I had bought  
the cloth after months of hindrances.",press figur curtain cloth. bought cloth month hindrances.
fear,"I am a kindergarten teacher and I am thoroughly weary of my job.   
After having taken the university entrance exam I suffered from  
anxiety for weeks as I did not want to carry on with my work - studies  
were the only alternative. ",kindergarten teacher thoroughli weari job. taken univers entranc exam suffer anxieti week want carri work - studi alternative.
anger,"My life-partner, who was drinking more and more, spoke about  
kicking the cat.  He had never done anything of the kind, but I  
knew that he would do so one day, without thinking about it.","life-partner, drink more, spoke kick cat. never done anyth kind, knew would one day, without think it."
sadness,"Estrangement from my best woman friend.  We have been going  
different ways for quite some time now, but the break was total  
when she got married as her husband is unreasonably jealous of me.","estrang best woman friend. go differ way quit time now, break total got marri husband unreason jealou me."
disgust,"My life-partner is going through a crisis (way of life, old-fashioned values)  
and can only get out of it by talking bold decisions.  I have  
noticed his cowardice and attempts to escape his problems by  
drinking.  I detest his drinking and his being full of self-pity.","life-partn go crisi (way life, old-fashion values) get talk bold decisions. notic cowardic attempt escap problem drinking. detest drink full self-pity."
shame,"Again, a quarrel had come up in our difficult relationship.  My  
life-partner threw all the books off the shelf.  I am sure that it  
disturbed our neighbours since this happened late in the night.","again, quarrel come difficult relationship. life-partn threw book shelf. sure disturb neighbour sinc happen late night."
guilt,"A lonely, neurotic, shy girl lives nearby. She has expressed a  
wish to meet me, I have however avoided her (turned down an  
invitation) as the crisis my partner is going through uses up all  
my empathy.","lonely, neurotic, shi girl live nearby. express wish meet me, howev avoid (turn invitation) crisi partner go use empathy."
joy,"Begining the week-end with my girlfriend : cozyness, beer and  
wine.","begin week-end girlfriend : cozyness, beer wine."
fear,"The fear about my future : work, making ends meet and health.  
Coping.","fear futur : work, make end meet health. coping."
anger,"A friend of mine ridiculed me, telling me that I would never  
accomplish anything. I felt that he had interfered with my life.","friend mine ridicul me, tell would never accomplish anything. felt interf life."
sadness,"I felt sad at having to leave my girlfriend after constant problems  
and failed attempts at reconciliation.  My sadness was caused by  
the irreversibility of the decision.",felt sad leav girlfriend constant problem fail attempt reconciliation. sad caus irrevers decision.
disgust,A man spat on the wall of a house.,man spat wall house.
shame,"In an express bus I sat on a seat meant for senior citizens and  
invalids.",express bu sat seat meant senior citizen invalids.
guilt,"When I did not succeed in finding a job after having finished a  
nonacademic degree.",succeed find job finish nonacadem degree.
joy,"When after an overwhelming anxiety and enquiry, I understood  
something about why I exist and what my task in life is.","overwhelm anxieti enquiry, understood someth exist task life is."
fear,"At the railway station, while waiting for the last train at night  
I noticed that a drunk young man was appraching me in a  
purposeful mannner.","railway station, wait last train night notic drunk young man apprach purpos mannner."
anger,"While having a discussion with my mother, I realized that she  
does not for a moment doubt the justification of her making the  
decisions concerning my life.","discuss mother, realiz moment doubt justif make decis concern life."
sadness,"When I think that I will probably never have a genuine contact  
with my parents.",think probabl never genuin contact parents.
disgust,"While reading Olli Jalonen's new book, the distant, cold and  
selfish relationships between people (in the book) made me feel  
disgusted.","read olli jalonen' new book, distant, cold selfish relationship peopl (in book) made feel disgusted."
shame,When I approached a person of the opposite sex and was rejected.,approach person opposit sex rejected.
guilt,"When I noticed that my little sister was sulking, because I could  
not meet her because of a misunderstanding.","notic littl sister sulking, could meet misunderstanding."
joy,"The day I got to know that I would get a shared dwelling with my  
boyfriend.  My parents place was getting a little crowded with  
my growing bother wanting a room to himself.  I first felt doubt,  
then joy, but also sadness.  The feeling of joy was the  
strongest.","day got know would get share dwell boyfriend. parent place get littl crowd grow bother want room himself. first felt doubt, joy, also sadness. feel joy strongest."
fear,"My grandfather had lung-cancer and was being nursed at  
home.  I felt fear when I was alone with him and he almost choked  
on mucus secretions.",grandfath lung-canc nurs home. felt fear alon almost choke mucu secretions.
anger,"The outrageous conduct of a relative towards me and those close  
to me.(blaming us and lying)",outrag conduct rel toward close me.(blam us lying)
sadness,We had to finish the life of our 8 year-old dog.,finish life 8 year-old dog.
disgust,A very drunk person.,drunk person.
shame,"An argument that grew out of an ordinary conversation with a  
person very close to me, when we should have been having a good  
time together.","argument grew ordinari convers person close me, good time together."
guilt,"While trying to get my little brother over a ditch, he fell on  
his head and started crying.  I was scared of having caused him  
permanent injury.","tri get littl brother ditch, fell head start crying. scare caus perman injury."
joy,[ A chat on the telephone with a friend.],[ chat telephon friend.]
fear,"[ Meeting some new (unpleasant) people or some new, demanding  
situation.]","[ meet new (unpleasant) peopl new, demand situation.]"
anger,"[ For example, unfair pushing in a bus.]","[ example, unfair push bus.]"
sadness,"[ When I am, in my opinion, not understood correctly. ]","[ am, opinion, understood correctly. ]"
disgust,[ When some people act very important in any situation.],[ peopl act import situation.]
shame,"[ Generally, when I am late in attending to matters (for example  
paying bills).]","[ generally, late attend matter (for exampl pay bills).]"
guilt,"[ If one has planned to do something ""important"" and then, for  
some reason, fails to do it.]","[ one plan someth ""important"" then, reason, fail it.]"
joy,"I was in a dancing-tavern and the atmosphere was one of waiting  
for the end of the world.  Suddenly people began dancing wildly,  
inspired by the band.  An unbelievable experience : wonderful  
that even Finns sometimes flare up and forget to think ""what  
others are thinking of me"".  It was delightful to dance to one's  
heart content.","dancing-tavern atmospher one wait end world. suddenli peopl began danc wildly, inspir band. unbeliev experi : wonder even finn sometim flare forget think ""what other think me"". delight danc one' heart content."
fear,"I was travelling back home by boat with two friends of mine after  
a lovely holiday trip.  The night and the sea were dark, and the  
wind was blowing.  I feared that death was there on the boat, I  
somehow felt sure about it.  I feared being left alone.","travel back home boat two friend mine love holiday trip. night sea dark, wind blowing. fear death boat, somehow felt sure it. fear left alone."
anger,"I was at home, filling my tax report.  Nobody had time to help  
me.  I would have liked to do it quickly so that I could go and  
meet a friend of mine who had just returned from hospital.  I got  
angry as both my brother and my father refused to give me their calculator  
as I had not asked for it nicely.  I could not leave as I  
had to wait for help and the tax report had to be done.","home, fill tax report. nobodi time help me. would like quickli could go meet friend mine return hospital. got angri brother father refus give calcul ask nicely. could leav wait help tax report done."
sadness,"I tried to talk to my parents over the phone, as I wanted to go  
home for the week-end and I knew that I would not be able to bear  
it.  I tried to reduce the gulf and the conflict between us by  
talking in order to unite our worlds.  Result : hysterical mess,  
blinding and blaming.","tri talk parent phone, want go home week-end knew would abl bear it. tri reduc gulf conflict us talk order unit worlds. result : hyster mess, blind blaming."
disgust,"My mother called me because she had read through the enveloppe a letter  
addressed to me.  She denied having read it intentionally and  
said ""the words just popped out through the enveloppe as the sun  
was shining on it"". Hah Hah.","mother call read envelopp letter address me. deni read intent said ""the word pop envelopp sun shine it"". hah hah."
shame,"I feared that I would have to describe my sexual life to an  
older, strange woman.","fear would describ sexual life older, strang woman."
guilt,When I moved away from home.,move away home.
joy,"The inflammation of the ear of my child got cured and the doctor  
said that the ear was completely all right.",inflamm ear child got cure doctor said ear complet right.
fear,"My husband suddenly fell ill seriously and during the medical  
examinations we did not know what would follow.",husband suddenli fell ill serious medic examin know would follow.
anger,"The housing council asked the city to cut 40 linden trees so that  
the inhabitants of the lower floors would have a view to the sea.",hous council ask citi cut 40 linden tree inhabit lower floor would view sea.
sadness,"My child, unexpectedly started acting in a restless and  
disturbing way at school.  In addition his performance at school  
weakened.","child, unexpectedli start act restless disturb way school. addit perform school weakened."
disgust,"On a trip abroad, a lady-like member of our group turned out to  
be an alcoholic.  She spoilt many days of my holidays because of  
her behaviour and paranoia.","trip abroad, lady-lik member group turn alcoholic. spoilt mani day holiday behaviour paranoia."
shame,I failed an exam which I thought I would certainly pass.,fail exam thought would certainli pass.
guilt,"I had been guilty of gossiping and blaming others, and one of my  
superiors at the workplace made a formal reprimand.","guilti gossip blame others, one superior workplac made formal reprimand."
joy,When a student of mine (at music) performed and played remarkably well.,student mine (at music) perform play remark well.
fear,When climbing up the stairs to the top of a ski-jumping hill.,climb stair top ski-jump hill.
anger,"My boy-friend came home late one night without having told me  
about it before.",boy-friend came home late one night without told before.
sadness,The breaking up of a long lasting relationship.,break long last relationship.
disgust,"While watching the movie called ""Deer hunter"" on TV, when it  
showed how prisoners were treated.","watch movi call ""deer hunter"" tv, show prison treated."
shame,"When I noticed that a person I found attractive had seen me  
picking my nose.",notic person found attract seen pick nose.
guilt,"When I think that I have been too stict or narrow minded towards  
my students.",think stict narrow mind toward students.
joy,"When I made up with a girl-friend of mine after having been on  
unfriendly terms with her (my fault).  I cried with joy that  
evening.",made girl-friend mine unfriendli term (mi fault). cri joy evening.
fear,"While cycling in the country, I came across a large herd of  
cows.","cycl country, came across larg herd cows."
anger,"When I heard that my step-mother had treated my mother in a wrong  
manner.",heard step-moth treat mother wrong manner.
sadness,"When my friend did not pass the high school graduation  
examinations.",friend pass high school graduat examinations.
disgust,"When I heard about the advances an acquaintance of mine had made  
to my friends, who did not approve of them.","heard advanc acquaint mine made friends, approv them."
shame,"When after having had sexual intercourse with a friend, I thought  
that he had told about it to a friend of his.","sexual intercours friend, thought told friend his."
guilt,"When I promised a male friend of mine to visit him, and did not.","promis male friend mine visit him, not."
joy,"During lectures, I sensed an unexpressed understanding with a boy  
I did not know.  We exchange glances ; I think he likes me, and I  
like him too.  Perhaps he has fallen in love with me .........","lectures, sens unexpress understand boy know. exchang glanc ; think like me, like too. perhap fallen love ........."
fear,"At night, I walk home past a forest.  Once, somebody got stabbed  
in the forest.  I imagine someone attacking me and I hurry up.","night, walk home past forest. once, somebodi got stab forest. imagin someon attack hurri up."
anger,"In a tram, the ticket seller was commanding, taking the role of a  
leader, trying to emphasize her non-existent authority with undue  
strictness towards a good-humoured drunk who could not find his  
ticket at once.","tram, ticket seller commanding, take role leader, tri emphas non-exist author undu strict toward good-humour drunk could find ticket once."
sadness,"A relationship in which I had put my trust, broke up.  I was sad  
when I realized how easy it is to forget something that one had  
once regarded as great and significant.","relationship put trust, broke up. sad realiz easi forget someth one regard great significant."
disgust,"A nightmare.  I was dreaming about bloodsuckers, which I tried to  
shake off from my body, they are everywhere, they get glued, they  
suck.  And there are a lot of them.  I panic.","nightmare. dream bloodsuckers, tri shake body, everywhere, get glued, suck. lot them. panic."
shame,"I told evil lies about a close friend of mine.  I was evil in  
order to sound jolly, to charm a person whom I wanted to impress.  
 I sold my friend, I was despicable.","told evil lie close friend mine. evil order sound jolly, charm person want impress. sold friend, despicable."
guilt,"I met my ex boyfriend by chance.  We separated a few months ago  
and I am now with a new boyfriend.  My ex boyfriend looked  
depressed, and I know I am not to be blamed.","met ex boyfriend chance. separ month ago new boyfriend. ex boyfriend look depressed, know blamed."
joy,"[ During inter-rail-trip, after troubles, I met my little  
sister.]","[ inter-rail-trip, troubles, met littl sister.]"
fear,"Traveling as the only female in a railway carriage in the middle  
of the night in Italy.",travel femal railway carriag middl night italy.
anger,"A male, Honduran acquaintance of mine despised my opinions.","male, honduran acquaint mine despis opinions."
sadness,When our dog died.,dog died.
disgust,"While walking on the street with a good friend of mine, we met an  
acquaintance of hers.  My friend started showing off and telling  
false stories about herself and praising herself.","walk street good friend mine, met acquaint hers. friend start show tell fals stori prais herself."
shame,"I was dishonest to my boyfriend concerning something that is  
important to our relationship.",dishonest boyfriend concern someth import relationship.
guilt,A parking fine.,park fine.
joy,"After having at last finished my master's thesis, I felt great  
joy and relief.  I had been haunted by the thesis during the  
whole of my studies.","last finish master' thesis, felt great joy relief. haunt thesi whole studies."
fear,"While preparing my master's thesis, I was scared that I would not  
accomplish anything as the subject was rather difficult.","prepar master' thesis, scare would accomplish anyth subject rather difficult."
anger,"During the Summer, at my workplace, a person kept interfering  
with my tasks and making unfounded remarks.  I felt hatred for  
him but it stopped when I realized that he just longed for attention.","summer, workplace, person kept interf task make unfound remarks. felt hatr stop realiz long attention."
sadness,"The last time I felt sad and disappointed was when I did not do  
as well as I had hoped in one of the final exams.  As compared  
with the earlier exams, the questions, I think, were unjust.","last time felt sad disappoint well hope one final exams. compar earlier exams, questions, think, unjust."
disgust,"After the first of May, I detested my fiance's friends, who had  
piled on to our party and spoilt it completely.","first may, detest fiance' friends, pile parti spoilt completely."
shame,"After our sad first of May party, I felt ashamed because the  
friends who had been invited had to suffer.  We, the organizers  
of the party, did not drive the intruders away.","sad first may party, felt asham friend invit suffer. we, organ party, drive intrud away."
guilt,"At my summer job, I was responsible for making various orders.   
It was not me who had ordered some seasonal merchandise, but when  
much of it was left over and had to be thrown away in the Autumn,  
I felt partly responsible for the much too large order.","summer job, respons make variou orders. order season merchandise, much left thrown away autumn, felt partli respons much larg order."
joy,When I met a good friend of mine after a long time.,met good friend mine long time.
fear,"I was camping with a friend of mine and we spent the night in the  
forest.  I could not fall off to sleep and could clearly hear  
noises from outside (steps ?) approaching our tent.",camp friend mine spent night forest. could fall sleep could clearli hear nois outsid (step ?) approach tent.
anger,When I quarelled with my parents.,quarel parents.
sadness,"Being away from a very close friend, I was away from Finland  
for a year as an exchange student.","away close friend, away finland year exchang student."
disgust,When I saw a spider.,saw spider.
shame,"While playing I urinated on grandma's floor and did not go to the  
lavatory.  My cousin told grandma and she came.",play urin grandma' floor go lavatory. cousin told grandma came.
guilt,"While travelling in a bus with an invalid ticket, I got caught.","travel bu invalid ticket, got caught."
joy,"While having a discussion with a colleague of mine, I realized that her  
conception of man and work were similar to mine.","discuss colleagu mine, realiz concept man work similar mine."
fear,"While he was drunk, my life partner tried to hit me.  I felt  
scared and fled to the bathroom.","drunk, life partner tri hit me. felt scare fled bathroom."
anger,"A ""higher status"" colleague of mine despised my attitude and  
organization of work.","""higher status"" colleagu mine despis attitud organ work."
sadness,"I could not meet my love, after having waited for a month, due to  
illness.","could meet love, wait month, due illness."
disgust,"Once again, my life partner came back home drunk at midnight.","again, life partner came back home drunk midnight."
shame,"My love and me rented a room in a hotel one evening.  We stayed  
there a few hours and when leaving the hotel, I felt ashamed.","love rent room hotel one evening. stay hour leav hotel, felt ashamed."
guilt,"[ I had, by being silent, disapproved my love and made him  
unhappy.  He had not been able to keep his promise.  I thus was  
thinking about my own conduct towards another person.]","[ had, silent, disapprov love made unhappy. abl keep promise. thu think conduct toward anoth person.]"
joy,"I had just moved to the town where I study and I got a postcard  
from a good friend (from my home town).",move town studi got postcard good friend (from home town).
fear,"My boyfriend hinted over the phone about wanting to ""be free"".   
He thus did not say it point blank, silence followed.","boyfriend hint phone want ""be free"". thu say point blank, silenc followed."
anger,They had returned much less of my taxes than I had expected.,return much less tax expected.
sadness,After my boyfriend and I had separated.,boyfriend separated.
disgust,"In the morning, the cat of my landlady had vomited on the floor,  
near the staircase I take to go to the bathroom.","morning, cat landladi vomit floor, near staircas take go bathroom."
shame,"My boyfriend's mother, whom I had not met earlier, made an  
unexpected visit.  I was lying lazily on the bed, reading a  
newspaper and my boyfriend was studying.","boyfriend' mother, met earlier, made unexpect visit. lie lazili bed, read newspap boyfriend studying."
guilt,"The cat of my landlady escaped through the window which I had  
left open.",cat landladi escap window left open.
joy,"I got a letter from my best friend, whom I had not heard from for  
a long time (a good letter).","got letter best friend, heard long time (a good letter)."
